year,Variable,Year,Value,Discount
2060-01-01,Secondary Energy|Electricity|Wind,2060,14.7332,9.895600025458608
2070-01-01,Final Energy|Transportation|Electricity,2070,4.4768,2.7220682103674885
2070-01-01,Final Energy|Transportation|Liquids|Oil,2070,0.7143,0.4343221324753166
2070-01-01,Primary Energy|Coal,2070,0.0353,0.021463770511519913
2070-01-01,Primary Energy|Gas,2070,1.9962,1.2137671018440808
2070-01-01,Primary Energy|Oil,2070,1.0415,0.6332724359135409
2070-01-01,Secondary Energy|Electricity|Biomass,2070,0.6034,0.3668906268173121
2070-01-01,Secondary Energy|Electricity|Coal,2070,0.0001,6.080388246889494e-05
2070-01-01,Secondary Energy|Electricity|Gas,2070,0.0001,6.080388246889494e-05
2070-01-01,Secondary Energy|Electricity|Hydro,2070,1.351,0.8214604521547706
2070-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2070,24.1514,14.684988870592692
2070-01-01,Secondary Energy|Electricity|Nuclear,2070,0.0,0.0
2070-01-01,Secondary Energy|Electricity|Solar,2070,7.6058,4.624621692819211
2070-01-01,Secondary Energy|Electricity|Wind,2070,15.0826,9.170806377253548
2080-01-01,Final Energy|Transportation|Electricity,2080,4.7627,2.621626385826768
2080-01-01,Final Energy|Transportation|Liquids|Oil,2080,0.6022,0.3314807587177188
2080-01-01,Primary Energy|Coal,2080,0.0371,0.020421680751290885
2080-01-01,Primary Energy|Gas,2080,2.4337,1.3396292303077257
2080-01-01,Primary Energy|Oil,2080,0.8673,0.47740495190281895
2080-01-01,Secondary Energy|Electricity|Biomass,2080,0.5527,0.30423350272879973
2080-01-01,Secondary Energy|Electricity|Coal,2080,0.0001,5.504496159377597e-05
2080-01-01,Secondary Energy|Electricity|Gas,2080,0.0001,5.504496159377597e-05
2080-01-01,Secondary Energy|Electricity|Hydro,2080,1.2774,0.7031443393988942
2080-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2080,24.2704,13.359632358655801
2080-01-01,Secondary Energy|Electricity|Nuclear,2080,0.0,0.0
2080-01-01,Secondary Energy|Electricity|Solar,2080,7.9389,4.36996445596828
2080-01-01,Secondary Energy|Electricity|Wind,2080,14.9421,8.224873206303599
2090-01-01,Final Energy|Transportation|Electricity,2090,4.5321,2.258412761253402
2090-01-01,Final Energy|Transportation|Liquids|Oil,2090,0.507,0.2526456322577778
2090-01-01,Primary Energy|Coal,2090,0.0423,0.02107871843097436
2090-01-01,Primary Energy|Gas,2090,2.7302,1.360499221282416
2090-01-01,Primary Energy|Oil,2090,0.5885,0.29325829306450146
2090-01-01,Secondary Energy|Electricity|Biomass,2090,0.5951,0.2965471711175613
2090-01-01,Secondary Energy|Electricity|Coal,2090,0.0002,9.966297130484333e-05
2090-01-01,Secondary Energy|Electricity|Gas,2090,0.0001,4.9831485652421664e-05
2090-01-01,Secondary Energy|Electricity|Hydro,2090,1.2413,0.6185582314035101
2090-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2090,23.4974,11.709103509692127
2090-01-01,Secondary Energy|Electricity|Nuclear,2090,0.0,0.0
2090-01-01,Secondary Energy|Electricity|Solar,2090,7.6318,3.8030393220215166
2090-01-01,Secondary Energy|Electricity|Wind,2090,14.5201,7.235581548217278
2100-01-01,Final Energy|Transportation|Electricity,2100,4.696,2.1184498412673065
2100-01-01,Final Energy|Transportation|Liquids|Oil,2100,0.433,0.1953340675614872
2100-01-01,Primary Energy|Coal,2100,0.0386,0.01741315244312565
2100-01-01,Primary Energy|Gas,2100,3.6112,1.6290771011040244
2100-01-01,Primary Energy|Oil,2100,0.4758,0.21464191534816537
2100-01-01,Secondary Energy|Electricity|Biomass,2100,0.58,0.2616484045858258
2100-01-01,Secondary Energy|Electricity|Coal,2100,0.0001,4.51117938941079e-05
2100-01-01,Secondary Energy|Electricity|Gas,2100,0.0001,4.51117938941079e-05
2100-01-01,Secondary Energy|Electricity|Hydro,2100,1.2514,0.5645289887908662
2100-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2100,22.9273,10.342916321483798
2100-01-01,Secondary Energy|Electricity|Nuclear,2100,0.0,0.0
2100-01-01,Secondary Energy|Electricity|Solar,2100,7.4584,3.3646180357981432
2100-01-01,Secondary Energy|Electricity|Wind,2100,14.1056,6.363289199527284
