year,Variable,Year,Value,Discount
2090-01-01,Secondary Energy|Electricity|Wind,2090,11.6774,5.819021905575887
2100-01-01,Final Energy|Transportation|Electricity,2100,4.6557,2.1002697883279815
2100-01-01,Final Energy|Transportation|Liquids|Oil,2100,0.5434,0.2451374880205823
2100-01-01,Primary Energy|Coal,2100,1.3301,0.6000319705855292
2100-01-01,Primary Energy|Gas,2100,7.1538,3.2272075115966907
2100-01-01,Primary Energy|Oil,2100,1.4786,0.6670229845182793
2100-01-01,Secondary Energy|Electricity|Biomass,2100,0.7183,0.324038015541377
2100-01-01,Secondary Energy|Electricity|Coal,2100,0.0001,4.51117938941079e-05
2100-01-01,Secondary Energy|Electricity|Gas,2100,0.5628,0.2538891760360392
2100-01-01,Secondary Energy|Electricity|Hydro,2100,1.212,0.5467549419965877
2100-01-01,Secondary Energy|Electricity|Non-Biomass Renewables,2100,19.8602,8.959292490957615
2100-01-01,Secondary Energy|Electricity|Nuclear,2100,0.0,0.0
2100-01-01,Secondary Energy|Electricity|Solar,2100,6.6738,3.0106709009049726
2100-01-01,Secondary Energy|Electricity|Wind,2100,11.8624,5.3513414388946545
