,ptf,name,ticker,isin,lei_legalentityidentifier_,country,countryisocode,region,operatingrevenue_thusd_,marketcapitalisation_musd_,nace_mainsection,nace4_orbis,cprs2_orbis,nace4_eikon,capac_dir,capac_indir,foss_indir_sh,ren_sw_indir_sh,ren_all_indir_sh,nuc_indir_sh,exposuretonewenergy
44,,Electricite de France SA,EDF FP,FR0010242511,549300X3UK4GG3FNMO06,France,FR,EU,90022523.8769,34615.0406,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,32098.5511,56528.00314132964,0.080418714572925,0.0540243760359036,0.119581285427075,0.8,A4
45,,Electricite de Strasbourg SA,ELEC FP,FR0000031023,969500ONI3X5EA276S20,France,FR,EU,923504.3305,950.3823,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.12,26.0,26.0,0.0,0.0,1.0,0.0,A4
46,,Elia Group SA/NV,ELI BB,BE0003822393,549300S1MP1NFDIKT460,Belgium,BE,EU,2616959.9592,6100.5637,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.12,0.0,13.5,0.0,1.0,1.0,0.0,A4
47,,EnBW Energie Baden-Wuerttemberg AG,EBK GR,DE0005220008,529900JSFZ4TS59HKD79,Germany,DE,EU,21728575.2904,15536.8842,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,12925.281014876546,14753.09434820988,0.5058260879966168,0.3256510736989558,0.494173912003383,0.0,A4
48,,Fortum Oyj,FORTUM FH,FI0009007132,635400IUIZZIUJSAMF76,Finland,FI,EU,6244979.7868,21954.0172,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,4122.96,4616.168099999784,0.3140050294095806,0.2957145559755174,0.5224394016326868,0.1635555689577325,A3
49,,Engie SA,ENGI FP,FR0010208488,LAXUQCHT4FH58LRZDY46,France,FR,EU,71147159.5349,39395.502,"D - Electricity, gas, steam and air conditioning supply",35.22,1-fossil|gas,35.11,9290.78514191419,30045.74684191419,0.5600000056090485,0.3415257794246632,0.4116416378993304,0.0,A4
50,,RWE AG,RWE GR,DE0007037129,529900GB7KCA94ACC940,Germany,DE,EU,46913177.8908,18846.6112,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,2501.8700000000003,27251.106,0.8002519237200868,0.1693882075832078,0.1997480762799132,0.0,A4
51,,Public Power Corp SA,PPC GA,GRS434003000,213800T9Y5XCOVRZ4Y57,Greece,GR,EU,5659649.144,1220.6897,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,13472.065,13690.02299943,0.7325282799318555,0.0278563446858984,0.2674717200681444,0.0,A4
52,,Red Electrica Corp SA,REE SM,ES0173093024,5493009HMD0C90GUV498,Spain,ES,EU,2277143.8609,10895.6963,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.12,0.0,190.0,0.0,0.0,1.0,0.0,A4
53,,EVN AG,EVN AV,AT0000741053,529900P4JZBFEVNEAE60,Austria,AT,EU,2481820.8117,3161.335,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,1396.8166666666668,1396.8166666666668,0.8956078702764618,0.0967557183596033,0.104392129723538,0.0,A4
54,,Uniper SE,UN01 GR,DE000UNSE018,549300UXRTWGIBZQ4J67,Germany,DE,EU,74538703.6933,12165.0234,"D - Electricity, gas, steam and air conditioning supply",35.13,2-utility|electricity|distribution,35.14,4308.1738,22988.1288,0.898945720192763,0.0016856526399834,0.1010542798072368,0.0,A4
55,,Vorarlberger Kraftwerke AG,VKW AV,AT0000824503,,Austria,AT,EU,499141.7877,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,94.3,94.3,0.0,0.0,1.0,0.0,A4
