Ptf,name,ticker,ISIN,LEI_LegalEntityIdentifier_,Country,CountryISOCode,Region,OperatingRevenue_thUSD_,MarketCapitalisation_mUSD_,NACE_MainSection,NACE4_orbis,CPRS2_orbis,NACE4_eikon,capac_dir,capac_indir,foss_indir_sh,ren_sw_indir_sh,ren_all_indir_sh,nuc_indir_sh,ExposureToNewEnergy
,Endesa SA,ELE SM,ES0130670112,549300LHK07F2CHV4X31,Spain,ES,EU,22645494.251,28295.874,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,10322.120833333334,32981.25600574713,0.6203882341184442,0.12984783940875633,0.37961176588155576,0.0,A3
,Innogy SE,IGY GR,DE000A2AADD2,,Germany,DE,EU,42564497.0571,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.12,2-utility|electricity|transmission,35.11,1213.35711,9613.279330961363,0.430743231049534,0.473005305933062,0.5692567689504658,0.0,A3
,Iren SpA,IRE IM,IT0003027817,8156001EBD33FD474E60,Italy,IT,EU,4802204.095,4036.5695,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.23,1675.2,1698.2,0.734248027323048,0.0029442939583087975,0.26575197267695205,0.0,A3
,Mainova AG,MNV6 GR,DE0006553464,529900V3S3C2QZPTD593,Germany,DE,EU,2586493.3552,32.0516,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,539.175,539.175,0.8518106366207632,0.12519126443177075,0.1481893633792368,0.0,A3
,MVV Energie AG,MVV1 GR,DE000A0H52F5,529900ISR2VNZV1C0T93,Germany,DE,EU,4058954.1281,1865.9136,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,175.40499999999997,1223.6581999999999,0.19122987121730564,0.7248143313222597,0.8087701287826944,0.0,A3
,Sonae Capital SGPS SA,SONC PL,PTSNP0AE0008,549300EX1XPP41B75893,Portugal,PT,EU,323946.952,209.6674,I - Accommodation and food service activities,55.1,4-buildings,35.11,0.0,2.2,0.0,1.0,1.0,0.0,A3
,Direct Energie,DIREN FP,FR0004191674,969500AZY2G5SSJC5G90,France,FR,EU,2409759.8296,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,968.635,2956.875,0.7063538363982246,0.2639053054322554,0.29364616360177553,0.0,A3
,A2A SpA,A2A IM,IT0001233417,81560076E3944316DB24,Italy,IT,EU,8227780.5285,5884.6131,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,2940.5485,10956.1865,0.7902339011845043,0.0,0.2097660988154957,0.0,A4
,ACEA SpA,ACE IM,IT0001207098,549300Q3448N041CTH56,Italy,IT,EU,3579415.9329,4411.6731,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,29.0,413.0,0.9685230024213075,0.007263922518159807,0.031476997578692496,0.0,A4
,Areva SA,ARVCF US,FR0011027143,9695007B0RXQCHHTGR34,France,FR,EU,8162946.991,n.a.,B - Mining and quarrying,7.21,9-other,35.11,8.0,34.25,0.0,1.0,1.0,0.0,A4
,E.ON SE,EOAN GR,DE000ENAG999,Q9MAIUP40P25UFBFG033,Germany,DE,EU,47834365.7708,28310.6016,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.14,1510.34,15748.218242072471,0.4372370825801966,0.42913783249571574,0.5627629174198034,0.0,A4
,Elecnor SA,ENO SM,ES0129743318,95980020140005491250,Spain,ES,EU,2772799.1103,1070.2069,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,42.22,181.42399999999998,1047.0702499999998,0.0,1.0,1.0,0.0,A4
,Electricite de France SA,EDF FP,FR0010242511,549300X3UK4GG3FNMO06,France,FR,EU,90022523.8769,34615.0406,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,32098.5511,56528.00314132964,0.080418714572925,0.0540243760359036,0.11958128542707501,0.8,A4
,Electricite de Strasbourg SA,ELEC FP,FR0000031023,969500ONI3X5EA276S20,France,FR,EU,923504.3305,950.3823,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.12,26.0,26.0,0.0,0.0,1.0,0.0,A4
,Elia Group SA/NV,ELI BB,BE0003822393,549300S1MP1NFDIKT460,Belgium,BE,EU,2616959.9592,6100.5637,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.12,0.0,13.5,0.0,1.0,1.0,0.0,A4
,EnBW Energie Baden-Wuerttemberg AG,EBK GR,DE0005220008,529900JSFZ4TS59HKD79,Germany,DE,EU,21728575.2904,15536.8842,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,12925.281014876546,14753.094348209881,0.5058260879966168,0.3256510736989558,0.49417391200338306,0.0,A4
,Fortum Oyj,FORTUM FH,FI0009007132,635400IUIZZIUJSAMF76,Finland,FI,EU,6244979.7868,21954.0172,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,4122.96,4616.168099999784,0.3140050294095806,0.2957145559755174,0.5224394016326868,0.16355556895773254,A3
,Engie SA,ENGI FP,FR0010208488,LAXUQCHT4FH58LRZDY46,France,FR,EU,71147159.5349,39395.502,"D - Electricity, gas, steam and air conditioning supply",35.22,1-fossil|gas,35.11,9290.78514191419,30045.74684191419,0.5600000056090485,0.3415257794246632,0.4116416378993304,0.0,A4
,RWE AG,RWE GR,DE0007037129,529900GB7KCA94ACC940,Germany,DE,EU,46913177.8908,18846.6112,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,2501.8700000000003,27251.106,0.8002519237200868,0.1693882075832078,0.1997480762799132,0.0,A4
,Public Power Corp SA,PPC GA,GRS434003000,213800T9Y5XCOVRZ4Y57,Greece,GR,EU,5659649.144,1220.6897,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,13472.065,13690.02299943,0.7325282799318555,0.02785634468589849,0.26747172006814446,0.0,A4
,Red Electrica Corp SA,REE SM,ES0173093024,5493009HMD0C90GUV498,Spain,ES,EU,2277143.8609,10895.6963,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.12,0.0,190.0,0.0,0.0,1.0,0.0,A4
,EVN AG,EVN AV,AT0000741053,529900P4JZBFEVNEAE60,Austria,AT,EU,2481820.8117,3161.335,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.13,1396.8166666666668,1396.8166666666668,0.8956078702764618,0.09675571835960338,0.10439212972353804,0.0,A4
,Uniper SE,UN01 GR,DE000UNSE018,549300UXRTWGIBZQ4J67,Germany,DE,EU,74538703.6933,12165.0234,"D - Electricity, gas, steam and air conditioning supply",35.13,2-utility|electricity|distribution,35.14,4308.1738,22988.128800000002,0.898945720192763,0.001685652639983468,0.10105427980723684,0.0,A4
,Vorarlberger Kraftwerke AG,VKW AV,AT0000824503,,Austria,AT,EU,499141.7877,n.a.,"D - Electricity, gas, steam and air conditioning supply",35.11,2-utility|electricity|generation,35.11,94.3,94.3,0.0,0.0,1.0,0.0,A4
